epoch   1/40 | loss_G 2.8688 | loss_D 0.3951 | cycle 0.2363 | grad_norm_G 11.743
epoch   2/40 | loss_G 3.1533 | loss_D 0.2369 | cycle 0.1915 | grad_norm_G 33.708
epoch   3/40 | loss_G 3.2105 | loss_D 0.2177 | cycle 0.1872 | grad_norm_G 51.562
epoch   4/40 | loss_G 3.3793 | loss_D 0.2483 | cycle 0.1795 | grad_norm_G 68.014
epoch   5/40 | loss_G 3.1803 | loss_D 0.2086 | cycle 0.1788 | grad_norm_G 78.534
epoch   6/40 | loss_G 3.5881 | loss_D 0.2513 | cycle 0.1714 | grad_norm_G 87.443
epoch   7/40 | loss_G 2.9290 | loss_D 0.1826 | cycle 0.1691 | grad_norm_G 60.698
epoch   8/40 | loss_G 3.2273 | loss_D 0.2043 | cycle 0.1719 | grad_norm_G 87.945
epoch   9/40 | loss_G 3.0951 | loss_D 0.1657 | cycle 0.1661 | grad_norm_G 97.146
epoch  10/40 | loss_G 2.8224 | loss_D 0.2171 | cycle 0.1580 | grad_norm_G 84.586
epoch  11/40 | loss_G 2.9652 | loss_D 0.2151 | cycle 0.1553 | grad_norm_G 85.657
epoch  12/40 | loss_G 2.9290 | loss_D 0.2342 | cycle 0.1558 | grad_norm_G 93.579
epoch  13/40 | loss_G 2.9667 | loss_D 0.2017 | cycle 0.1511 | grad_norm_G 109.597
epoch  14/40 | loss_G 2.9445 | loss_D 0.1953 | cycle 0.1522 | grad_norm_G 115.135
epoch  15/40 | loss_G 3.3795 | loss_D 0.1737 | cycle 0.1467 | grad_norm_G 123.499
epoch  16/40 | loss_G 3.0592 | loss_D 0.2131 | cycle 0.1442 | grad_norm_G 121.882
epoch  17/40 | loss_G 2.9701 | loss_D 0.2221 | cycle 0.1362 | grad_norm_G 109.225
epoch  18/40 | loss_G 2.6882 | loss_D 0.2006 | cycle 0.1350 | grad_norm_G 111.986
epoch  19/40 | loss_G 3.0000 | loss_D 0.2170 | cycle 0.1363 | grad_norm_G 116.692
epoch  20/40 | loss_G 3.4426 | loss_D 0.1346 | cycle 0.1399 | grad_norm_G 134.916
epoch  21/40 | loss_G 3.3735 | loss_D 0.2352 | cycle 0.1362 | grad_norm_G 141.588
epoch  22/40 | loss_G 2.5471 | loss_D 0.2197 | cycle 0.1267 | grad_norm_G 117.042
epoch  23/40 | loss_G 2.4406 | loss_D 0.2341 | cycle 0.1258 | grad_norm_G 114.306
epoch  24/40 | loss_G 2.7602 | loss_D 0.1815 | cycle 0.1304 | grad_norm_G 150.098
epoch  25/40 | loss_G 2.3647 | loss_D 0.2526 | cycle 0.1207 | grad_norm_G 135.434
epoch  26/40 | loss_G 2.5804 | loss_D 0.1750 | cycle 0.1215 | grad_norm_G 156.102
epoch  27/40 | loss_G 2.6041 | loss_D 0.1551 | cycle 0.1240 | grad_norm_G 174.397
epoch  28/40 | loss_G 2.6182 | loss_D 0.1635 | cycle 0.1305 | grad_norm_G 188.304
epoch  29/40 | loss_G 2.6810 | loss_D 0.2131 | cycle 0.1288 | grad_norm_G 154.741
epoch  30/40 | loss_G 2.3975 | loss_D 0.2038 | cycle 0.1232 | grad_norm_G 161.445
epoch  31/40 | loss_G 2.3888 | loss_D 0.2087 | cycle 0.1223 | grad_norm_G 155.132
epoch  32/40 | loss_G 2.5980 | loss_D 0.1322 | cycle 0.1227 | grad_norm_G 191.958
epoch  33/40 | loss_G 2.7739 | loss_D 0.1455 | cycle 0.1244 | grad_norm_G 253.495
epoch  34/40 | loss_G 2.4431 | loss_D 0.1649 | cycle 0.1273 | grad_norm_G 218.791
epoch  35/40 | loss_G 2.6598 | loss_D 0.1475 | cycle 0.1292 | grad_norm_G 239.720
epoch  36/40 | loss_G 2.6216 | loss_D 0.1903 | cycle 0.1234 | grad_norm_G 231.368
epoch  37/40 | loss_G 2.5814 | loss_D 0.1575 | cycle 0.1206 | grad_norm_G 238.263
epoch  38/40 | loss_G 2.6936 | loss_D 0.1402 | cycle 0.1230 | grad_norm_G 247.483
epoch  39/40 | loss_G 2.7107 | loss_D 0.1436 | cycle 0.1224 | grad_norm_G 221.785
epoch  40/40 | loss_G 2.8094 | loss_D 0.1593 | cycle 0.1232 | grad_norm_G 192.416

Total training time: 702.99s | images/sec: 45.52 | peak_mem_MB: 844.7 | nan_count: 0
