epoch   1/40 | loss_G 5.1871 | loss_D 0.3302 | cycle 0.3252 | identity 0.3079 | grad_norm_G 30.064
epoch   2/40 | loss_G 4.3037 | loss_D 0.2351 | cycle 0.2684 | identity 0.2473 | grad_norm_G 26.983
epoch   3/40 | loss_G 4.2197 | loss_D 0.2131 | cycle 0.2597 | identity 0.2400 | grad_norm_G 25.904
epoch   4/40 | loss_G 4.1617 | loss_D 0.2014 | cycle 0.2576 | identity 0.2314 | grad_norm_G 27.875
epoch   5/40 | loss_G 4.1025 | loss_D 0.1896 | cycle 0.2507 | identity 0.2283 | grad_norm_G 26.312
epoch   6/40 | loss_G 3.9534 | loss_D 0.1888 | cycle 0.2413 | identity 0.2189 | grad_norm_G 26.051
epoch   7/40 | loss_G 3.7423 | loss_D 0.1804 | cycle 0.2273 | identity 0.2081 | grad_norm_G 26.170
epoch   8/40 | loss_G 3.7610 | loss_D 0.1829 | cycle 0.2282 | identity 0.2071 | grad_norm_G 26.203
epoch   9/40 | loss_G 3.6601 | loss_D 0.1684 | cycle 0.2194 | identity 0.2025 | grad_norm_G 25.410
epoch  10/40 | loss_G 3.5620 | loss_D 0.1753 | cycle 0.2135 | identity 0.1958 | grad_norm_G 24.605
epoch  11/40 | loss_G 3.5604 | loss_D 0.1799 | cycle 0.2143 | identity 0.1959 | grad_norm_G 24.687
epoch  12/40 | loss_G 3.5449 | loss_D 0.1749 | cycle 0.2146 | identity 0.1938 | grad_norm_G 25.206
epoch  13/40 | loss_G 3.4370 | loss_D 0.1698 | cycle 0.2053 | identity 0.1865 | grad_norm_G 24.334
epoch  14/40 | loss_G 3.3766 | loss_D 0.1622 | cycle 0.1997 | identity 0.1878 | grad_norm_G 22.435
epoch  15/40 | loss_G 3.3517 | loss_D 0.1651 | cycle 0.1973 | identity 0.1841 | grad_norm_G 23.212
epoch  16/40 | loss_G 3.3728 | loss_D 0.1697 | cycle 0.2008 | identity 0.1849 | grad_norm_G 24.837
epoch  17/40 | loss_G 3.1915 | loss_D 0.1692 | cycle 0.1876 | identity 0.1763 | grad_norm_G 21.630
epoch  18/40 | loss_G 3.2396 | loss_D 0.1644 | cycle 0.1915 | identity 0.1756 | grad_norm_G 23.407
epoch  19/40 | loss_G 3.2011 | loss_D 0.1669 | cycle 0.1899 | identity 0.1747 | grad_norm_G 22.530
epoch  20/40 | loss_G 3.1980 | loss_D 0.1599 | cycle 0.1867 | identity 0.1730 | grad_norm_G 22.774
epoch  21/40 | loss_G 3.2135 | loss_D 0.1576 | cycle 0.1886 | identity 0.1723 | grad_norm_G 23.442
epoch  22/40 | loss_G 3.1904 | loss_D 0.1589 | cycle 0.1886 | identity 0.1725 | grad_norm_G 23.158
epoch  23/40 | loss_G 3.0816 | loss_D 0.1482 | cycle 0.1780 | identity 0.1670 | grad_norm_G 21.713
epoch  24/40 | loss_G 2.9277 | loss_D 0.1519 | cycle 0.1688 | identity 0.1615 | grad_norm_G 21.231
epoch  25/40 | loss_G 2.9284 | loss_D 0.1427 | cycle 0.1675 | identity 0.1567 | grad_norm_G 21.221
epoch  26/40 | loss_G 2.8910 | loss_D 0.1439 | cycle 0.1643 | identity 0.1572 | grad_norm_G 20.015
epoch  27/40 | loss_G 2.8459 | loss_D 0.1371 | cycle 0.1596 | identity 0.1539 | grad_norm_G 20.693
epoch  28/40 | loss_G 2.8023 | loss_D 0.1377 | cycle 0.1577 | identity 0.1516 | grad_norm_G 19.255
epoch  29/40 | loss_G 2.7610 | loss_D 0.1281 | cycle 0.1550 | identity 0.1477 | grad_norm_G 20.310
epoch  30/40 | loss_G 2.6916 | loss_D 0.1194 | cycle 0.1479 | identity 0.1457 | grad_norm_G 19.003
epoch  31/40 | loss_G 2.7263 | loss_D 0.1193 | cycle 0.1504 | identity 0.1439 | grad_norm_G 20.931
epoch  32/40 | loss_G 2.6456 | loss_D 0.1179 | cycle 0.1440 | identity 0.1424 | grad_norm_G 18.315
epoch  33/40 | loss_G 2.6055 | loss_D 0.1166 | cycle 0.1404 | identity 0.1383 | grad_norm_G 19.024
epoch  34/40 | loss_G 2.5643 | loss_D 0.1154 | cycle 0.1365 | identity 0.1368 | grad_norm_G 17.648
epoch  35/40 | loss_G 2.4945 | loss_D 0.1114 | cycle 0.1330 | identity 0.1326 | grad_norm_G 17.328
epoch  36/40 | loss_G 2.4595 | loss_D 0.1104 | cycle 0.1303 | identity 0.1311 | grad_norm_G 16.804
epoch  37/40 | loss_G 2.4630 | loss_D 0.1129 | cycle 0.1290 | identity 0.1311 | grad_norm_G 16.942
epoch  38/40 | loss_G 2.3934 | loss_D 0.1062 | cycle 0.1231 | identity 0.1273 | grad_norm_G 15.510
epoch  39/40 | loss_G 2.3735 | loss_D 0.1093 | cycle 0.1220 | identity 0.1254 | grad_norm_G 15.351
epoch  40/40 | loss_G 2.3147 | loss_D 0.1165 | cycle 0.1185 | identity 0.1241 | grad_norm_G 13.880

Total training time: 1012.45s | images/sec: 23.70 | peak_mem_MB: 2186.3 | nan_count: 0
