epoch   1/60 | train_loss 3.7154 | val_loss 3.6921 | val_acc 0.1857 | lr 8.33e-05 | grad_norm 3.533
epoch   2/60 | train_loss 3.2598 | val_loss 3.2367 | val_acc 0.1862 | lr 1.67e-04 | grad_norm 0.610
epoch   3/60 | train_loss 3.0368 | val_loss 3.0206 | val_acc 0.2285 | lr 2.50e-04 | grad_norm 0.842
epoch   4/60 | train_loss 2.7027 | val_loss 2.6979 | val_acc 0.2927 | lr 3.33e-04 | grad_norm 0.873
epoch   5/60 | train_loss 2.5206 | val_loss 2.5374 | val_acc 0.3028 | lr 4.17e-04 | grad_norm 0.919
epoch   6/60 | train_loss 2.4168 | val_loss 2.4217 | val_acc 0.3177 | lr 5.00e-04 | grad_norm 0.879
epoch   7/60 | train_loss 2.3645 | val_loss 2.3850 | val_acc 0.3203 | lr 4.91e-04 | grad_norm 0.931
epoch   8/60 | train_loss 2.3385 | val_loss 2.3433 | val_acc 0.3229 | lr 4.82e-04 | grad_norm 0.568
epoch   9/60 | train_loss 2.3048 | val_loss 2.3272 | val_acc 0.3243 | lr 4.73e-04 | grad_norm 0.643
epoch  10/60 | train_loss 2.2826 | val_loss 2.3087 | val_acc 0.3335 | lr 4.63e-04 | grad_norm 0.647
epoch  11/60 | train_loss 2.2587 | val_loss 2.2791 | val_acc 0.3365 | lr 4.54e-04 | grad_norm 0.578
epoch  12/60 | train_loss 2.2513 | val_loss 2.2661 | val_acc 0.3378 | lr 4.45e-04 | grad_norm 0.599
epoch  13/60 | train_loss 2.2273 | val_loss 2.2459 | val_acc 0.3408 | lr 4.36e-04 | grad_norm 0.632
epoch  14/60 | train_loss 2.2043 | val_loss 2.2302 | val_acc 0.3455 | lr 4.26e-04 | grad_norm 0.672
epoch  15/60 | train_loss 2.1693 | val_loss 2.2042 | val_acc 0.3508 | lr 4.17e-04 | grad_norm 0.836
epoch  16/60 | train_loss 2.1568 | val_loss 2.1774 | val_acc 0.3575 | lr 4.08e-04 | grad_norm 0.714
epoch  17/60 | train_loss 2.1229 | val_loss 2.1620 | val_acc 0.3591 | lr 3.99e-04 | grad_norm 0.707
epoch  18/60 | train_loss 2.0836 | val_loss 2.1217 | val_acc 0.3676 | lr 3.89e-04 | grad_norm 0.621
epoch  19/60 | train_loss 2.0646 | val_loss 2.1006 | val_acc 0.3769 | lr 3.80e-04 | grad_norm 0.776
epoch  20/60 | train_loss 2.0309 | val_loss 2.0669 | val_acc 0.3816 | lr 3.71e-04 | grad_norm 1.016
epoch  21/60 | train_loss 2.0223 | val_loss 2.0517 | val_acc 0.3876 | lr 3.62e-04 | grad_norm 0.836
epoch  22/60 | train_loss 1.9964 | val_loss 2.0258 | val_acc 0.3888 | lr 3.52e-04 | grad_norm 0.793
epoch  23/60 | train_loss 1.9616 | val_loss 2.0157 | val_acc 0.3916 | lr 3.43e-04 | grad_norm 0.816
epoch  24/60 | train_loss 1.9361 | val_loss 1.9936 | val_acc 0.3963 | lr 3.34e-04 | grad_norm 0.854
epoch  25/60 | train_loss 1.9185 | val_loss 1.9701 | val_acc 0.4082 | lr 3.25e-04 | grad_norm 0.768
epoch  26/60 | train_loss 1.9197 | val_loss 1.9719 | val_acc 0.4015 | lr 3.15e-04 | grad_norm 0.754
epoch  27/60 | train_loss 1.9074 | val_loss 1.9462 | val_acc 0.4101 | lr 3.06e-04 | grad_norm 0.743
epoch  28/60 | train_loss 1.8707 | val_loss 1.9338 | val_acc 0.4101 | lr 2.97e-04 | grad_norm 0.804
epoch  29/60 | train_loss 1.8610 | val_loss 1.9128 | val_acc 0.4187 | lr 2.87e-04 | grad_norm 0.908
epoch  30/60 | train_loss 1.8492 | val_loss 1.8969 | val_acc 0.4200 | lr 2.78e-04 | grad_norm 0.982
epoch  31/60 | train_loss 1.8355 | val_loss 1.8964 | val_acc 0.4210 | lr 2.69e-04 | grad_norm 0.817
epoch  32/60 | train_loss 1.8324 | val_loss 1.8822 | val_acc 0.4273 | lr 2.60e-04 | grad_norm 1.140
epoch  33/60 | train_loss 1.8124 | val_loss 1.8611 | val_acc 0.4331 | lr 2.50e-04 | grad_norm 0.975
epoch  34/60 | train_loss 1.8058 | val_loss 1.8774 | val_acc 0.4267 | lr 2.41e-04 | grad_norm 0.981
epoch  35/60 | train_loss 1.7798 | val_loss 1.8502 | val_acc 0.4377 | lr 2.32e-04 | grad_norm 0.780
epoch  36/60 | train_loss 1.7814 | val_loss 1.8509 | val_acc 0.4364 | lr 2.23e-04 | grad_norm 0.972
epoch  37/60 | train_loss 1.7686 | val_loss 1.8144 | val_acc 0.4503 | lr 2.13e-04 | grad_norm 0.821
epoch  38/60 | train_loss 1.7489 | val_loss 1.8148 | val_acc 0.4508 | lr 2.04e-04 | grad_norm 0.779
epoch  39/60 | train_loss 1.7555 | val_loss 1.8049 | val_acc 0.4513 | lr 1.95e-04 | grad_norm 0.815
epoch  40/60 | train_loss 1.7349 | val_loss 1.8179 | val_acc 0.4503 | lr 1.86e-04 | grad_norm 0.840
epoch  41/60 | train_loss 1.7241 | val_loss 1.8117 | val_acc 0.4532 | lr 1.76e-04 | grad_norm 0.862
epoch  42/60 | train_loss 1.7241 | val_loss 1.7950 | val_acc 0.4574 | lr 1.67e-04 | grad_norm 0.989
epoch  43/60 | train_loss 1.7258 | val_loss 1.7933 | val_acc 0.4594 | lr 1.58e-04 | grad_norm 0.852
epoch  44/60 | train_loss 1.7032 | val_loss 1.7756 | val_acc 0.4635 | lr 1.49e-04 | grad_norm 0.823
epoch  45/60 | train_loss 1.6911 | val_loss 1.7728 | val_acc 0.4649 | lr 1.39e-04 | grad_norm 0.764
epoch  46/60 | train_loss 1.7003 | val_loss 1.7831 | val_acc 0.4627 | lr 1.30e-04 | grad_norm 0.962
epoch  47/60 | train_loss 1.6811 | val_loss 1.7570 | val_acc 0.4668 | lr 1.21e-04 | grad_norm 0.840
epoch  48/60 | train_loss 1.6930 | val_loss 1.7613 | val_acc 0.4683 | lr 1.12e-04 | grad_norm 0.871
epoch  49/60 | train_loss 1.6755 | val_loss 1.7542 | val_acc 0.4696 | lr 1.02e-04 | grad_norm 0.851
epoch  50/60 | train_loss 1.6705 | val_loss 1.7378 | val_acc 0.4713 | lr 9.30e-05 | grad_norm 0.900
epoch  51/60 | train_loss 1.6561 | val_loss 1.7389 | val_acc 0.4769 | lr 8.38e-05 | grad_norm 0.866
epoch  52/60 | train_loss 1.6628 | val_loss 1.7380 | val_acc 0.4741 | lr 7.45e-05 | grad_norm 0.872
epoch  53/60 | train_loss 1.6667 | val_loss 1.7512 | val_acc 0.4711 | lr 6.53e-05 | grad_norm 0.783
epoch  54/60 | train_loss 1.6564 | val_loss 1.7524 | val_acc 0.4721 | lr 5.60e-05 | grad_norm 0.955
epoch  55/60 | train_loss 1.6589 | val_loss 1.7544 | val_acc 0.4694 | lr 4.67e-05 | grad_norm 0.858
epoch  56/60 | train_loss 1.6575 | val_loss 1.7297 | val_acc 0.4774 | lr 3.75e-05 | grad_norm 0.875
epoch  57/60 | train_loss 1.6509 | val_loss 1.7321 | val_acc 0.4768 | lr 2.82e-05 | grad_norm 0.902
epoch  58/60 | train_loss 1.6623 | val_loss 1.7248 | val_acc 0.4811 | lr 1.90e-05 | grad_norm 0.767
epoch  59/60 | train_loss 1.6474 | val_loss 1.7266 | val_acc 0.4784 | lr 9.70e-06 | grad_norm 0.876
epoch  60/60 | train_loss 1.6273 | val_loss 1.7330 | val_acc 0.4778 | lr 4.41e-07 | grad_norm 0.859

Total training time: 54.88s | tokens/sec: 105789.2 | peak_mem_MB: 273.1 | nan_count: 0
