epoch   1/60 | train_loss 4.0871 | val_loss 4.0881 | val_acc 0.1840 | lr 5.00e-05 | grad_norm 2.902
epoch   2/60 | train_loss 3.8203 | val_loss 3.8224 | val_acc 0.1849 | lr 1.00e-04 | grad_norm 2.065
epoch   3/60 | train_loss 3.5962 | val_loss 3.5943 | val_acc 0.2046 | lr 1.50e-04 | grad_norm 1.826
epoch   4/60 | train_loss 3.3032 | val_loss 3.2998 | val_acc 0.2558 | lr 2.00e-04 | grad_norm 1.663
epoch   5/60 | train_loss 3.0469 | val_loss 3.0433 | val_acc 0.2829 | lr 2.50e-04 | grad_norm 1.295
epoch   6/60 | train_loss 2.8268 | val_loss 2.8314 | val_acc 0.3074 | lr 3.00e-04 | grad_norm 1.214
epoch   7/60 | train_loss 2.6779 | val_loss 2.6778 | val_acc 0.3170 | lr 3.00e-04 | grad_norm 0.780
epoch   8/60 | train_loss 2.5858 | val_loss 2.5936 | val_acc 0.3235 | lr 2.99e-04 | grad_norm 0.602
epoch   9/60 | train_loss 2.5178 | val_loss 2.5345 | val_acc 0.3276 | lr 2.98e-04 | grad_norm 0.521
epoch  10/60 | train_loss 2.4817 | val_loss 2.4881 | val_acc 0.3269 | lr 2.97e-04 | grad_norm 0.510
epoch  11/60 | train_loss 2.4410 | val_loss 2.4552 | val_acc 0.3285 | lr 2.95e-04 | grad_norm 0.635
epoch  12/60 | train_loss 2.4169 | val_loss 2.4238 | val_acc 0.3328 | lr 2.92e-04 | grad_norm 0.458
epoch  13/60 | train_loss 2.3861 | val_loss 2.4055 | val_acc 0.3345 | lr 2.89e-04 | grad_norm 0.435
epoch  14/60 | train_loss 2.3729 | val_loss 2.3902 | val_acc 0.3336 | lr 2.86e-04 | grad_norm 0.405
epoch  15/60 | train_loss 2.3530 | val_loss 2.3682 | val_acc 0.3349 | lr 2.82e-04 | grad_norm 0.551
epoch  16/60 | train_loss 2.3292 | val_loss 2.3531 | val_acc 0.3341 | lr 2.78e-04 | grad_norm 0.448
epoch  17/60 | train_loss 2.3206 | val_loss 2.3349 | val_acc 0.3385 | lr 2.74e-04 | grad_norm 0.730
epoch  18/60 | train_loss 2.3029 | val_loss 2.3306 | val_acc 0.3420 | lr 2.69e-04 | grad_norm 0.476
epoch  19/60 | train_loss 2.2939 | val_loss 2.3184 | val_acc 0.3418 | lr 2.64e-04 | grad_norm 0.607
epoch  20/60 | train_loss 2.2701 | val_loss 2.2992 | val_acc 0.3429 | lr 2.58e-04 | grad_norm 0.644
epoch  21/60 | train_loss 2.2595 | val_loss 2.2888 | val_acc 0.3440 | lr 2.52e-04 | grad_norm 0.529
epoch  22/60 | train_loss 2.2541 | val_loss 2.2801 | val_acc 0.3433 | lr 2.46e-04 | grad_norm 0.512
epoch  23/60 | train_loss 2.2418 | val_loss 2.2610 | val_acc 0.3487 | lr 2.40e-04 | grad_norm 0.627
epoch  24/60 | train_loss 2.2314 | val_loss 2.2513 | val_acc 0.3473 | lr 2.33e-04 | grad_norm 0.501
epoch  25/60 | train_loss 2.2120 | val_loss 2.2426 | val_acc 0.3475 | lr 2.26e-04 | grad_norm 0.691
epoch  26/60 | train_loss 2.1934 | val_loss 2.2317 | val_acc 0.3504 | lr 2.19e-04 | grad_norm 0.684
epoch  27/60 | train_loss 2.1808 | val_loss 2.2092 | val_acc 0.3543 | lr 2.12e-04 | grad_norm 0.640
epoch  28/60 | train_loss 2.1737 | val_loss 2.2062 | val_acc 0.3555 | lr 2.04e-04 | grad_norm 0.608
epoch  29/60 | train_loss 2.1634 | val_loss 2.1991 | val_acc 0.3570 | lr 1.97e-04 | grad_norm 1.042
epoch  30/60 | train_loss 2.1464 | val_loss 2.1896 | val_acc 0.3578 | lr 1.89e-04 | grad_norm 0.582
epoch  31/60 | train_loss 2.1361 | val_loss 2.1709 | val_acc 0.3619 | lr 1.81e-04 | grad_norm 0.879
epoch  32/60 | train_loss 2.1201 | val_loss 2.1666 | val_acc 0.3620 | lr 1.74e-04 | grad_norm 0.811
epoch  33/60 | train_loss 2.1137 | val_loss 2.1557 | val_acc 0.3650 | lr 1.66e-04 | grad_norm 0.716
epoch  34/60 | train_loss 2.0879 | val_loss 2.1393 | val_acc 0.3679 | lr 1.58e-04 | grad_norm 0.566
epoch  35/60 | train_loss 2.0821 | val_loss 2.1295 | val_acc 0.3672 | lr 1.50e-04 | grad_norm 0.589
epoch  36/60 | train_loss 2.0841 | val_loss 2.1097 | val_acc 0.3737 | lr 1.42e-04 | grad_norm 0.955
epoch  37/60 | train_loss 2.0707 | val_loss 2.1107 | val_acc 0.3763 | lr 1.35e-04 | grad_norm 0.709
epoch  38/60 | train_loss 2.0556 | val_loss 2.0992 | val_acc 0.3784 | lr 1.27e-04 | grad_norm 1.120
epoch  39/60 | train_loss 2.0455 | val_loss 2.0959 | val_acc 0.3752 | lr 1.19e-04 | grad_norm 0.789
epoch  40/60 | train_loss 2.0373 | val_loss 2.0752 | val_acc 0.3810 | lr 1.12e-04 | grad_norm 0.747
epoch  41/60 | train_loss 2.0284 | val_loss 2.0705 | val_acc 0.3854 | lr 1.05e-04 | grad_norm 0.676
epoch  42/60 | train_loss 2.0203 | val_loss 2.0717 | val_acc 0.3827 | lr 9.81e-05 | grad_norm 0.685
epoch  43/60 | train_loss 2.0074 | val_loss 2.0530 | val_acc 0.3895 | lr 9.14e-05 | grad_norm 0.836
epoch  44/60 | train_loss 2.0063 | val_loss 2.0480 | val_acc 0.3884 | lr 8.49e-05 | grad_norm 1.228
epoch  45/60 | train_loss 2.0057 | val_loss 2.0354 | val_acc 0.3931 | lr 7.87e-05 | grad_norm 0.766
epoch  46/60 | train_loss 1.9821 | val_loss 2.0355 | val_acc 0.3956 | lr 7.28e-05 | grad_norm 0.815
epoch  47/60 | train_loss 1.9928 | val_loss 2.0312 | val_acc 0.3943 | lr 6.73e-05 | grad_norm 0.808
epoch  48/60 | train_loss 1.9809 | val_loss 2.0319 | val_acc 0.3922 | lr 6.20e-05 | grad_norm 0.867
epoch  49/60 | train_loss 1.9727 | val_loss 2.0281 | val_acc 0.3920 | lr 5.71e-05 | grad_norm 0.641
epoch  50/60 | train_loss 1.9699 | val_loss 2.0210 | val_acc 0.3963 | lr 5.26e-05 | grad_norm 0.781
epoch  51/60 | train_loss 1.9681 | val_loss 2.0065 | val_acc 0.3980 | lr 4.84e-05 | grad_norm 0.629
epoch  52/60 | train_loss 1.9673 | val_loss 1.9991 | val_acc 0.4005 | lr 4.47e-05 | grad_norm 0.840
epoch  53/60 | train_loss 1.9569 | val_loss 2.0053 | val_acc 0.3995 | lr 4.13e-05 | grad_norm 0.931
epoch  54/60 | train_loss 1.9528 | val_loss 1.9939 | val_acc 0.4038 | lr 3.84e-05 | grad_norm 0.678
epoch  55/60 | train_loss 1.9503 | val_loss 2.0064 | val_acc 0.3976 | lr 3.59e-05 | grad_norm 0.726
epoch  56/60 | train_loss 1.9510 | val_loss 1.9969 | val_acc 0.4019 | lr 3.38e-05 | grad_norm 0.792
epoch  57/60 | train_loss 1.9445 | val_loss 1.9998 | val_acc 0.4021 | lr 3.22e-05 | grad_norm 0.706
epoch  58/60 | train_loss 1.9407 | val_loss 1.9825 | val_acc 0.4059 | lr 3.10e-05 | grad_norm 0.706
epoch  59/60 | train_loss 1.9416 | val_loss 1.9781 | val_acc 0.4055 | lr 3.03e-05 | grad_norm 0.783
epoch  60/60 | train_loss 1.9351 | val_loss 1.9842 | val_acc 0.4041 | lr 3.00e-05 | grad_norm 0.910

Total training time: 73.96s | tokens/sec: 79748.7 | peak_mem_MB: 493.6 | nan_count: 0
